"","astro","endo","olig","nonda","da","opc"
"CD24",NA,NA,NA,NA,NA,NA
"NCAM1",0.813316129574466,0,1,0.707295199332887,0.88472116618711,0.914838441213408
"ITGB1",0,1,0.122868307605366,0.0394102119152541,0.0400503106868707,0.0438473581617055
"FUT4",0.241335350245947,1,0.737193865836784,0.0528724465849106,0,0.915659176592513
"CXCR4",1,0.331449615201307,0.867688882571237,0.027968481002698,0,0.0414413771348235
"PROM1",0.00992310551912367,0.627300286965956,0,0.0105615306947134,0.0145034841000915,1
"CD44",1,0.101404751577093,0.0380800998738555,0,0.014801199836091,0.024085783933005
"PDGFRA",0.00514621680078149,0.129543230481135,0.0102290261904077,3.19408878785286e-05,0,1
"TH",0.015098346251243,0.0509110218002816,0.00855694247734084,0.0674118762467253,1,0
"ST3GAL2",0.811164978661437,0.322805475685689,0,0.871986897985906,1,0.292880122303921
"ITGA6",0.616219800482275,1,0.0425161747080784,0.0699700431458499,0,0.0108597234945373
