"","Astrocyte","Endothelial","OPC","Oligo","neuron","RadialGlia","Stem"
"AQP4",1,0.134196028986531,0.168715623561935,0.0730847874707092,0.0123050743319731,0.640883208919034,0
"CD24",0,0.0157821292144713,0.0488339874297262,NA,1,0.187825614589553,0.642093767489716
"CD44",0.632826114992626,0.0983692996528302,0.238659761236978,0.114103645779356,0.0216333571585019,1,0
"CXCR4",0.896932488894092,0.743750783971922,0.00742919724380944,0.742219118745127,0,1,0.211087608808908
"FUT4",0.204906241671575,1,0.767181891454313,0.618313651549706,0.567813978806539,0.775348376207218,0
"HEPACAM",1,0.0492451921282226,0.731904761345581,0.407536377735579,0,0.375709568251933,0.0070127835780496
"ITGB1",0.129256581545202,1,0.00798568227704615,0.41810347366378,0,0.338607776623852,0.26617428777274
"NCAM1",0.759996234148136,0,1,0.775142161019676,0.918737334394694,0.413723517692589,0.344097880878135
"NKX2-2",0.388618748358204,0.000773804355958035,1,0.981058262504775,0.0043867792162144,0.106993430347478,0
"PDGFRA",0.144097590941359,0.140705232530603,1,0.669608207552556,0,0.0673886221357649,0.0604756518980606
"PROM1",0.0602993082679064,0.568614407243467,1,0.281590578979495,0,0.564214871343411,0.50462073088267
"SLC1A3",1,0.326128255173626,0.641553168543628,0.272807287781832,0,0.856048021159981,0.11969688068309
"TFRC",0.371459201379851,1,0.021457126315339,0,0.092310846052006,0.13203570829223,0.0787952886039508
