"","Astrocytes","Endothelial","neuron","neuronDA","NPC-DA","NPC","OPCs","Oligo","RadialGlia","RadialGliaDiv","Astrocytes.Fetal","Stem"
"CD24",0.0386588975369353,0,0.749782587987295,0.990970222597359,1,0.790323590584197,0.0100731879117746,0,0.215171561945181,0.0782590190685263,1,0.599736016890531
"CD44",0.491470475029938,0.280916934571298,0.0519349444741286,0.0667153618950245,0,1,0.282364292418417,0.0190400499369278,0.984080330940493,0.451931775987911,1,0.0395160568389807
"CXCR4",0.550887061149867,1,0.11382300968131,0,0.11656307239517,0.253777392602184,0.0547114132908262,0.754936720005016,0.779430124258713,0.575476416355914,1,0.29250401325919
"FUT4",0.364201070918406,1,0.57031198931233,0.35863067815302,0,0.322005602143426,0,0.825065368497225,0.249200959486233,0.890046155583169,0.440327314965304,0.12746610372046
"ITGA6",0.692975993031854,1,0.0562389450715147,0,0.0156619305908912,0.0973445543544346,0.151753342795045,0.0103982195783574,0.317617846627006,0.535484396385358,0.385703636269899,0.115581500105895
"ITGB1",0.103489139396759,1,0,0.0999920588413565,0.448700456202104,0.343365432748023,0.0792094231656542,0.549744862110814,0.398825459018159,0.493105970328014,0.526795365071233,0.286867816607116
"NCAM1",0.73575373048823,0,0.750512095797104,0.817372480397314,1,0.123501759550257,0.316265630158667,0.831372549019608,0.284884024460056,0.473671749965156,0.77156862745098,0.302734056829565
"PDGFRA",0.121789202772089,0.00182344296895582,0.0135222224389157,0,0.0136470052566636,0.00339371479333816,1,0.504776755409286,0.00996040092685363,0.00175419928992985,0.426849433270991,0.0038945214435193
"PROM1",0.0291464655758985,0.496397550226272,0.00576124894894401,0,0.062156520723527,0.207757777092066,1,0.117767920944551,0.548805465933368,0.625977969678022,0.745155698741523,0.283112533378149
"ST3GAL2",0.770457951577833,0.842425238700357,0.33091496196359,0.479078330423025,1,0.156501980838752,0.0312366099260234,0,0.219421841508054,0.101311687530365,1,0.0865429545751009
"TH",0.0075491731256215,0,0.0280769534163692,0.947859547995149,1,0.190003843110195,0,0.00855694247734084,0.0572548060174538,0,NA,0.0150790385883689
