"","OPCs","NPC","RG-div","DAneurons","RG","Endothelial","NPC-DA","Neuron"
"CD24",0.0100731879117746,0.790323590584197,0,0.998425165263128,0.241954768979107,0.229556670489334,1,0.885288678899781
"NCAM1",0.316265630158667,0.123501759550257,0.173483192973596,0.522832430865193,0,0.0253923309876432,1,0.180416524136995
"ITGB1",0.103114513266792,0.36041264075448,0.628439511035829,0.0100428630343249,0.485955278445278,1,0.463013010651253,0
"FUT4",0,0.264656215535706,1,0.139972165129706,0.210849806008625,0.903362845010858,0,0.383353771215377
"CXCR4",0.0547114132908262,0.253777392602184,0.486284780092751,0,1,0.324604327078068,0.11656307239517,0.0492709669448546
"PROM1",1,0.222036315574506,0.828301025171918,0.0214038169972028,0.481663716551368,0.219986466174073,0.0790592227282279,0
"CD44",0.282364292418417,1,0.141946366473771,0.224988348749702,0.952240992821479,0,0,0.114032216268362
"PDGFRA",1,0.00407343133802659,0,0.00272812465575603,0.000724187134857683,0,0.0143197287377231,0.0063901198610386
"TH",0,0.190003843110195,0,0.791438191980598,0.121988568400725,0,1,0.00395587954561112
"ST3GAL2",0.140613121708569,0.251735628163409,0.175117464906203,0.500094588170207,0.454653770170354,0,1,0.379052198702872
"ITGA6",0.161061982614271,0.107250274999494,0.768624928743315,0.0343328296947367,0.438739852916519,1,0.026464034519805,0
