"","IPSC","Neuron","OPC","Oligo","NPC","Astrocyte"
"AQP4",1,0.016986869911975,0.800306869076185,0,0.416393753784526,0.965601476252977
"CD56",0.3208745547087,1,0.824073229873937,0.249683146987698,0,0.144453344724532
"GLAST",0,0.0699885854591154,1,0.750920201987396,0.528187963073569,0.162341938165888
"CD140a",0,0.334163266526204,0.77808060112241,1,0.334594765444004,0.710289538565439
"CD29",0.845579694386833,0.318904386426636,1,0.476192956440771,0,0.339113548192601
"CD44",0.962904114037438,0,1,0.478060755041137,0.570029654189894,0.705592258247939
"CD184",0.74954614286278,0,1,0.447120353668564,0.481847638782862,0.5218475495188
"CD71",1,0.191445394036798,0.847147705717384,0,0.00135071371489189,0.894300111699177
"CD24",0.983375662472203,0.871677445034921,1,0.973000436682494,0.891824561752883,0
"CD15",0,0.78670445556584,0.737801746603555,0.744938035712264,1,0.302895504542695
"O4",0.859415197795888,0,1,0.909642287664768,0.195351493322122,0.938200234756722
"HepaCAM",0.486090779118953,0.377230851661402,0,0.980158387674528,0.154629104746506,1
"CD133",0.964629195098765,0,1,0.655806664876359,0.430118298609662,0.578914780834437
