"","IPSC","Neuron","OPC","Oligo","NPC","Astrocyte","DANeuron","DANPC"
"CD133",0.964629195098765,0,1,0.655806664876359,0.430118298609662,0.578914780834437,0,0.430118298609662
"CD140a",0,0.334163266526204,0.77808060112241,1,0.334594765444004,0.710289538565439,0.334163266526204,0.334594765444004
"CD15",0,0.78670445556584,0.737801746603555,0.744938035712264,1,0.302895504542695,0.78670445556584,1
"CD184",0.74954614286278,0,1,0.447120353668564,0.481847638782862,0.5218475495188,0,0.481847638782862
"CD24",0.983375662472203,0.871677445034921,1,0.973000436682494,0.891824561752883,0,0.871677445034921,0.891824561752883
"CD29",0.845579694386833,0.318904386426636,1,0.476192956440771,0,0.339113548192601,0.318904386426636,0
"CD44",0.962904114037438,0,1,0.478060755041137,0.570029654189894,0.705592258247939,0,0.570029654189894
"CD56",0.3208745547087,1,0.824073229873937,0.249683146987698,0,0.144453344724532,1,0
"TH",0,0,0.0833333333333333,0,0.333333333333333,0.166666666666667,1,1
"SSEA4",1,0,0.533333333333333,0,0.533333333333333,0.333333333333333,0.133333333333333,0.333333333333333
"CD49f",0.133333333333333,0,0.466666666666667,0.333333333333333,0.466666666666667,1,0,0.466666666666667
