"","Astrocyte","Endothelial","Epithelial","Neuron","NPC","Oligo","OPC","RG","StemCell"
"CD24",0,0.25,0,1,0.5,0,0.25,0.5,1
"CD56",0,0.25,0,1,0.5,0,0.25,0.5,0.25
"CD29",0.25,0.25,0.25,0.5,1,0,0.25,0.75,1
"CD15",0,0.75,1,0.5,1,0,0.25,0.75,1
"CD184",0,0.75,0,0,0.5,0.25,0.25,1,1
"CD133",0,0.6,0.4,0,0.4,0.2,0.2,1,0.8
"CD71",0.666666666666667,0.666666666666667,0.333333333333333,1,0.333333333333333,0,0.333333333333333,1,0
"CD44",1,1,0.666666666666667,0,0,0.333333333333333,0.666666666666667,1,0
"GLAST",1,0,0.666666666666667,0,0,0.333333333333333,0.666666666666667,1,0
"AQP4",1,0,0,0,0,0,0,0.5,0
"HepaCAM",1,0,0.25,0,0,0,0,0,0
"CD140a",0.25,0,0.25,0,0,0.5,1,0.5,0.5
"O4",0,0,0,0,0,1,0.4,0,0
