"","IPSC","Neuron","OPC","Oligo","NPC","Astrocyte"
"AQP4",0.423091594492726,0.146457396414425,0.545441452620586,0,0.31609472249579,1
"CD56",0,0.247986223324559,1,0.867363982468875,0.989318569882904,0.182471229830103
"GLAST",0.0417269065300596,0,0.311664129464034,1,0.471358529975788,0.402822890397782
"CD140a",0,0.0744056658062008,0.0790345757032305,0.139082265515877,0.0640935516906246,1
"CD29",0.552806329411484,0,0.620500287150601,0.862118552296937,0.205625285956667,1
"CD44",0,0.0205866963424262,0.720796529323437,1,0.683574847300214,0.902332877005862
"CD184",0.089154267912091,0,0.906438517828119,0.996226217939902,1,0.563453996936971
"CD71",0.152933930067803,0.107324836148151,0.0983984388179568,0.0491102129776039,0,1
"CD24",0.86182657619708,0.489322476281219,0.337391742987242,1,0.547490811679118,0
"CD15",0,0.486796987276261,0.0534141492897516,0.524241598587404,1,0.121915149589341
"O4",0.0397584201356158,0,0.434569763846482,1,0.0168133441745711,0.146272104256103
"HepaCAM",0.269071374277985,0.229087590700834,0,0.976072038895455,0.0862362552506916,1
"CD133",0.681640832637442,0,0.367477150921469,0.578060716631278,1,0.017719350051584
